Юыќур,5111968076, /hi
Юыќур,5111968076, /help
Юыќур,5111968076, /sum
Юыќур,5111968076, /hi
Юыќур,5111968076, /sum
Юыќур,5111968076, /def
Юыќур,5111968076, /dev
Юыќур,5111968076, /help
Юыќур,5111968076, /hi
Юыќур,5111968076, /start
Юыќур,5111968076, /help
Юыќур,5111968076, /sum
Юыќур,5111968076, /sum 12 24
Юыќур,5111968076, /mult 24 0
Юыќур,5111968076, /dev 24 0
Юыќур,5111968076, /def 24 0
Юыќур,5111968076, /start
Юыќур,5111968076, /help
Юыќур,5111968076, /mult 1.3 2.0
Юыќур,5111968076, /start
Юыќур,5111968076, /help
Юыќур,5111968076, /mult 2.4 0.6
Юыќур,5111968076, /sum 2.4 0.6
